epoch,step,test/acc,test/loss,train/acc,train/loss,val/acc,val/loss
0,65,,,,,0.6853665113449097,0.8234696388244629
0,65,,,0.5388813018798828,1.096551537513733,,
1,131,,,,,0.7778642773628235,0.6144327521324158
1,131,,,0.7304980754852295,0.719315767288208,,
2,197,,,,,0.8263970613479614,0.4944831430912018
2,197,,,0.7997629642486572,0.5491064786911011,,
3,263,,,,,0.8519392609596252,0.4026288390159607
3,263,,,0.8423357605934143,0.44605571031570435,,
4,329,,,,,0.8744298219680786,0.35222527384757996
4,329,,,0.8718017339706421,0.36938372254371643,,
5,395,,,,,0.8682301640510559,0.3379908800125122
5,395,,,0.8821219205856323,0.3339063227176666,,
6,461,,,,,0.8930907249450684,0.3123273551464081
6,461,,,0.9027099013328552,0.2995463013648987,,
7,527,,,,,0.8937150835990906,0.2971416115760803
7,527,,,0.9141210913658142,0.2654329240322113,,
8,593,,,,,0.9046789407730103,0.29205119609832764
8,593,,,0.913985013961792,0.2515611946582794,,
9,659,,,,,0.9051313400268555,0.2798900604248047
9,659,,,0.9231107831001282,0.239713653922081,,
10,660,0.8955017328262329,0.2998313307762146,,,,
